segment,from,to,text
235,00:08:38.000,00:08:40.000,這邊先合照兩份再出去
236,00:08:40.000,00:08:42.000,謝謝
237,00:08:42.000,00:08:44.000,我們總統候選人
238,00:08:44.000,00:08:46.000,洪又儀
239,00:08:46.000,00:08:48.000,以及我們立法委員
240,00:08:48.000,00:08:50.000,洪又儀及議員
241,00:08:50.000,00:08:52.000,請參加兩地
242,00:08:52.000,00:08:54.000,等一下就會到這邊來
243,00:08:54.000,00:08:56.000,跟鄉親請安
244,00:08:56.000,00:08:58.000,跟鄉親問候
245,00:08:58.000,00:09:00.000,另外
246,00:09:00.000,00:09:02.000,我們總統候選人
247,00:09:02.000,00:09:04.000,洪又儀及會發表
248,00:09:04.000,00:09:06.000,最新的客家政策
249,00:09:06.000,00:09:08.000,我們稍後拭目以待
250,00:09:08.000,00:09:10.000,大家用的是
251,00:09:10.000,00:09:12.000,廟裡面的喇叭
252,00:09:12.000,00:09:14.000,我這只有放音樂
253,00:09:14.000,00:09:16.000,請各位貴賓
254,00:09:16.000,00:09:18.000,移到前廣場
255,00:09:20.000,00:09:22.000,我們掌聲歡迎
256,00:09:22.000,00:09:26.000,歡迎我們總統候選人
257,00:09:26.000,00:09:28.000,洪又儀
258,00:09:28.000,00:09:30.000,立法委員候選人
259,00:09:30.000,00:09:32.000,胡璇琪
260,00:09:32.000,00:09:34.000,以及我們的
261,00:09:34.000,00:09:36.000,莊盛火主任委員
262,00:09:36.000,00:09:38.000,還有我們張玉美主任委員
263,00:09:38.000,00:09:40.000,還有我們的
264,00:09:40.000,00:09:42.000,王敏東主委
265,00:09:42.000,00:09:44.000,還有我們的各位的
266,00:09:44.000,00:09:46.000,里長們貴賓們
267,00:09:46.000,00:09:48.000,我們請
268,00:09:48.000,00:09:50.000,大家到這邊來
269,00:09:50.000,00:09:52.000,謝謝
270,00:09:52.000,00:09:56.000,還有我們女嘉賓議員
271,00:09:56.000,00:09:58.000,趙玉琪議員
272,00:09:58.000,00:10:00.000,歡迎你
273,00:10:00.000,00:10:04.000,我們現在就要請
274,00:10:04.000,00:10:06.000,我們的主任委員
275,00:10:06.000,00:10:08.000,莊盛火莊主委
276,00:10:08.000,00:10:10.000,來跟我們鼓勵鼓勵
277,00:10:10.000,00:10:12.000,莊主委
278,00:10:12.000,00:10:14.000,莊主委在哪裡
279,00:10:14.000,00:10:16.000,在這邊
280,00:10:16.000,00:10:18.000,在這裡跟我們扶民將殺
281,00:10:18.000,00:10:20.000,後遺跡入戰
282,00:10:20.000,00:10:22.000,南軍團結石石
283,00:10:22.000,00:10:24.000,也是
284,00:10:24.000,00:10:26.000,總統篩檢
285,00:10:26.000,00:10:28.000,希望他最高的票數
286,00:10:28.000,00:10:30.000,不要睡衣喔
287,00:10:30.000,00:10:32.000,還有
288,00:10:32.000,00:10:34.000,我們張玉琪立法委員
289,00:10:34.000,00:10:36.000,還有我們李嘉慶主委員
290,00:10:36.000,00:10:38.000,還有我們周義勤議員
291,00:10:38.000,00:10:40.000,還有我們
292,00:10:40.000,00:10:42.000,胡璇琪議員
293,00:10:42.000,00:10:44.000,在這個地方
294,00:10:44.000,00:10:46.000,非常地驚慌
295,00:10:46.000,00:10:48.000,還有我們所有的里長
296,00:10:48.000,00:10:50.000,非常感謝你們
297,00:10:50.000,00:10:52.000,今天
298,00:10:52.000,00:10:54.000,這個天氣來到這邊
299,00:10:54.000,00:10:56.000,也給我們
300,00:10:56.000,00:10:58.000,某有一市長來加油
301,00:10:58.000,00:11:00.000,我想一定會
302,00:11:00.000,00:11:02.000,會高票當選
303,00:11:02.000,00:11:04.000,謝謝各位
304,00:11:04.000,00:11:06.000,謝謝我們莊主委
305,00:11:06.000,00:11:08.000,對我們的勉勵
306,00:11:08.000,00:11:10.000,放心我們來在員工參拜
307,00:11:10.000,00:11:12.000,我們的選民一定會保佑好人當選
308,00:11:12.000,00:11:14.000,對不對
309,00:11:14.000,00:11:16.000,會保佑我們實在的人當選
310,00:11:16.000,00:11:18.000,對不對
311,00:11:18.000,00:11:20.000,會保佑我們後方貨幣級的人當選
312,00:11:20.000,00:11:22.000,對不對
313,00:11:22.000,00:11:24.000,好 接著我算起我們的立法委員
314,00:11:24.000,00:11:26.000,候選人
315,00:11:26.000,00:11:28.000,也就是我們先任第一名的
316,00:11:28.000,00:11:30.000,桃園市揚眉區的
317,00:11:30.000,00:11:32.000,胡璇琪議員
318,00:11:32.000,00:11:34.000,來為我們懇託
319,00:11:34.000,00:11:38.000,好
320,00:11:38.000,00:11:40.000,謝謝首先感謝
321,00:11:40.000,00:11:42.000,中國國民黨總統級別的
322,00:11:42.000,00:11:44.000,候選人
323,00:11:44.000,00:11:46.000,所有一市長
324,00:11:46.000,00:11:48.000,在場我們今天這邊三員工的主委
325,00:11:48.000,00:11:50.000,莊勝火主委
326,00:11:50.000,00:11:52.000,我們張藝元委員
327,00:11:52.000,00:11:54.000,周一琪議員李嘉希議員
328,00:11:54.000,00:11:56.000,還有我們桃園市長部的
329,00:11:56.000,00:11:58.000,黃炳東主委
330,00:11:58.000,00:12:00.000,以及我們這邊
331,00:12:00.000,00:12:02.000,最認真的
332,00:12:02.000,00:12:04.000,我們的前立委
333,00:12:04.000,00:12:06.000,我們的廖振景委員
334,00:12:06.000,00:12:08.000,以及我們在場
335,00:12:08.000,00:12:10.000,所有的委員
336,00:12:10.000,00:12:12.000,還有我們來自我們揚眉區
337,00:12:12.000,00:12:14.000,我們各領的里長
338,00:12:14.000,00:12:16.000,以及我們各社團的
339,00:12:16.000,00:12:18.000,里市長所有的好朋友
340,00:12:18.000,00:12:20.000,在場所有的揚眉鄉親
341,00:12:20.000,00:12:22.000,以及我們在座的
342,00:12:22.000,00:12:24.000,產官家庭好朋友
343,00:12:24.000,00:12:26.000,大家午安大家好
344,00:12:26.000,00:12:28.000,好
345,00:12:28.000,00:12:30.000,那今天我真的非常感謝
346,00:12:30.000,00:12:32.000,我們的總統候選人
347,00:12:32.000,00:12:34.000,所有一市長
348,00:12:34.000,00:12:36.000,專程遞離到我們
349,00:12:36.000,00:12:38.000,揚眉三員工
350,00:12:38.000,00:12:40.000,其實我們全個桃園市
351,00:12:40.000,00:12:42.000,我們230萬人口
352,00:12:42.000,00:12:44.000,有超過90萬的客家人
353,00:12:44.000,00:12:46.000,那我們這邊
354,00:12:46.000,00:12:48.000,某種旗三員工
355,00:12:48.000,00:12:50.000,也是我們客家的
356,00:12:50.000,00:12:52.000,一個重鎮
357,00:12:52.000,00:12:54.000,今天也感謝我們的
358,00:12:54.000,00:12:56.000,所有一市長
359,00:12:56.000,00:12:58.000,總統候選人專程遞離揚眉
360,00:12:58.000,00:13:00.000,來跟我們談論
361,00:13:00.000,00:13:02.000,也來追訪
362,00:13:02.000,00:13:04.000,也來大力支持我們的客家盛事
363,00:13:04.000,00:13:06.000,尤其我們揚眉
364,00:13:06.000,00:13:08.000,也是一個客家的重鎮
365,00:13:08.000,00:13:10.000,我們這邊有超過
366,00:13:10.000,00:13:12.000,七成的客家人
367,00:13:12.000,00:13:14.000,現場的莊盛董事會
368,00:13:14.000,00:13:16.000,還有在座我們的
369,00:13:16.000,00:13:18.000,李家七員周一吉議員
370,00:13:18.000,00:13:20.000,還有張運煤委員
371,00:13:20.000,00:13:22.000,還有我們的前廖政級委員
372,00:13:22.000,00:13:24.000,我們都是標準
373,00:13:24.000,00:13:26.000,到底的客家人
374,00:13:26.000,00:13:28.000,都全力的來支持我們的
375,00:13:28.000,00:13:30.000,客家政策
376,00:13:30.000,00:13:32.000,尤其全局的選區大員
377,00:13:32.000,00:13:34.000,新屋揚眉
378,00:13:34.000,00:13:36.000,我們這個選區喔
379,00:13:36.000,00:13:38.000,農業政策非常重要
380,00:13:38.000,00:13:40.000,客家政策非常重要
381,00:13:40.000,00:13:42.000,所以我們的某一市長
382,00:13:42.000,00:13:44.000,特別來這邊
383,00:13:44.000,00:13:46.000,跟我們所有的鄉親會面
384,00:13:46.000,00:13:48.000,要宣示來執行
385,00:13:48.000,00:13:50.000,來怎麼提升我們的農民的福利
386,00:13:50.000,00:13:52.000,怎麼來照顧我們的
387,00:13:52.000,00:13:54.000,客家人
388,00:13:54.000,00:13:56.000,所以我們也特別感謝
389,00:13:56.000,00:13:58.000,某一市長我們總統候選人
390,00:13:58.000,00:14:00.000,特別遞離我們揚眉
391,00:14:00.000,00:14:02.000,我們主權提揚眉這個選區
392,00:14:02.000,00:14:04.000,我們希望當選之後
393,00:14:04.000,00:14:06.000,我們一定落實我們的政見
394,00:14:06.000,00:14:08.000,讓現在的政局
395,00:14:08.000,00:14:10.000,可以說是
396,00:14:10.000,00:14:12.000,非常的困亂
397,00:14:12.000,00:14:14.000,非常困亂的局面
398,00:14:14.000,00:14:16.000,我們一定要
399,00:14:16.000,00:14:18.000,我們所有的市長
400,00:14:18.000,00:14:20.000,來為我們
401,00:14:20.000,00:14:22.000,翻轉台灣當初好不好
402,00:14:22.000,00:14:24.000,好
403,00:14:24.000,00:14:26.000,我們希望我們的總統候選人
404,00:14:26.000,00:14:28.000,所有的市長帶領著台灣
405,00:14:28.000,00:14:30.000,也希望我們揚眉鄉親
406,00:14:30.000,00:14:32.000,也給予全力的支持
407,00:14:32.000,00:14:34.000,也希望讓我們的
408,00:14:34.000,00:14:36.000,農民政策
409,00:14:36.000,00:14:38.000,農業政策
410,00:14:38.000,00:14:40.000,還有我們的客家政策
411,00:14:40.000,00:14:42.000,在我們總統候選人
412,00:14:42.000,00:14:44.000,投影市長
413,00:14:44.000,00:14:46.000,而且為全力的支持
414,00:14:46.000,00:14:48.000,希望讓我們的台灣
415,00:14:48.000,00:14:50.000,讓我們的揚眉有一個正好的未來
416,00:14:50.000,00:14:52.000,拜託大家
417,00:14:52.000,00:14:54.000,謝謝大家
418,00:14:54.000,00:14:56.000,哇我希望我們現在
419,00:14:56.000,00:14:58.000,能夠給我們這個
420,00:14:58.000,00:15:00.000,40年來揚眉都還沒有出現
421,00:15:00.000,00:15:02.000,一位在地的立委
422,00:15:02.000,00:15:04.000,我們一定要用我們的力量
423,00:15:04.000,00:15:06.000,用我們的每一票來支持我們
424,00:15:06.000,00:15:08.000,40年沒有出現在地立委的揚眉
425,00:15:08.000,00:15:10.000,給我們
426,00:15:10.000,00:15:12.000,土生土長的胡春青
427,00:15:12.000,00:15:14.000,一個機會我們來
428,00:15:14.000,00:15:16.000,給他加持喔大家深呼吸
429,00:15:16.000,00:15:18.000,胡春青
430,00:15:18.000,00:15:20.000,動策
431,00:15:20.000,00:15:22.000,胡春青
432,00:15:22.000,00:15:24.000,全集全集
433,00:15:24.000,00:15:26.000,動策
434,00:15:26.000,00:15:28.000,好謝謝鄉親
435,00:15:28.000,00:15:30.000,接下來我們要請我們中國投民黨
436,00:15:30.000,00:15:32.000,好請桃園市長
437,00:15:32.000,00:15:34.000,負責組的委員
438,00:15:34.000,00:15:36.000,黃毅公主委
439,00:15:36.000,00:15:38.000,來為我們談託
440,00:15:38.000,00:15:42.000,本黨提名的總統候選人
441,00:15:42.000,00:15:44.000,柏友宇同志
442,00:15:44.000,00:15:46.000,還有
443,00:15:46.000,00:15:48.000,玉華委員
444,00:15:48.000,00:15:50.000,候選人胡宣琪同志
445,00:15:50.000,00:15:52.000,在座
446,00:15:52.000,00:15:54.000,我最親愛的
447,00:15:54.000,00:15:56.000,各家鄉親
448,00:15:56.000,00:15:58.000,以及媒體朋友們
449,00:15:58.000,00:16:00.000,大家午安大家好
450,00:16:00.000,00:16:04.000,請把耐用探板
451,00:16:04.000,00:16:06.000,翻過來
452,00:16:06.000,00:16:08.000,面對媒體
453,00:16:08.000,00:16:10.000,所有的國家探訪
454,00:16:10.000,00:16:12.000,各位
455,00:16:12.000,00:16:14.000,看這個探板
456,00:16:14.000,00:16:16.000,各位瞭解
457,00:16:16.000,00:16:18.000,今天我們的總統
458,00:16:18.000,00:16:20.000,候選人柏友宇
459,00:16:20.000,00:16:22.000,到這個地方來
460,00:16:22.000,00:16:24.000,最重要的
461,00:16:24.000,00:16:26.000,其實在
462,00:16:26.000,00:16:28.000,之前
463,00:16:28.000,00:16:30.000,他非常的
464,00:16:30.000,00:16:32.000,期待
465,00:16:32.000,00:16:34.000,有一個半天
466,00:16:34.000,00:16:36.000,就是更多的時間
467,00:16:36.000,00:16:38.000,他說他要專程
468,00:16:38.000,00:16:40.000,來這個
469,00:16:40.000,00:16:42.000,客家方
470,00:16:42.000,00:16:44.000,好好的投評他
471,00:16:44.000,00:16:46.000,跟所有的客家鄉親表達
472,00:16:46.000,00:16:48.000,他長起來
473,00:16:48.000,00:16:50.000,尊重在心中的
474,00:16:50.000,00:16:52.000,感慨
475,00:16:52.000,00:16:54.000,跟尊敬
476,00:16:54.000,00:16:56.000,特別是要來伸出他的
477,00:16:56.000,00:16:58.000,有意義之重
478,00:16:58.000,00:17:00.000,那麼本來
479,00:17:00.000,00:17:02.000,我今天
480,00:17:02.000,00:17:04.000,要代表共和黨
481,00:17:04.000,00:17:06.000,這個張善志
482,00:17:06.000,00:17:08.000,市長跟管一朝兩朝
483,00:17:08.000,00:17:10.000,所以
484,00:17:10.000,00:17:12.000,就求我
485,00:17:12.000,00:17:14.000,先來把
486,00:17:14.000,00:17:16.000,今天國總統
487,00:17:16.000,00:17:18.000,候選人
488,00:17:18.000,00:17:20.000,考這一趟的目的
489,00:17:20.000,00:17:22.000,今天是第一站
490,00:17:22.000,00:17:24.000,非常非常的重要
491,00:17:24.000,00:17:26.000,所以我特別
492,00:17:26.000,00:17:28.000,拜託跟我同時
493,00:17:28.000,00:17:30.000,在朝廷
494,00:17:30.000,00:17:32.000,見證他們的目的
495,00:17:32.000,00:17:34.000,唯一不同的
496,00:17:34.000,00:17:36.000,他是道道必須
497,00:17:36.000,00:17:38.000,的客家
498,00:17:38.000,00:17:40.000,元老的政治人物
499,00:17:40.000,00:17:42.000,而且也是本地
500,00:17:42.000,00:17:44.000,出生的
501,00:17:44.000,00:17:46.000,一個親人
502,00:17:46.000,00:17:48.000,可是我呢
503,00:17:48.000,00:17:50.000,雖然不是客家人
504,00:17:50.000,00:17:52.000,但是很幸運
505,00:17:52.000,00:17:54.000,我女兒嫁給中英的
506,00:17:54.000,00:17:56.000,客家人
507,00:17:56.000,00:17:58.000,然後幫我生了個孫子
508,00:17:58.000,00:18:00.000,叫我阿公
509,00:18:00.000,00:18:02.000,所以我現在是客家人的阿公
510,00:18:02.000,00:18:04.000,非常榮幸
511,00:18:04.000,00:18:06.000,所以客家的情感也非常深
512,00:18:06.000,00:18:08.000,那麼我來
513,00:18:08.000,00:18:10.000,特別拜託
514,00:18:10.000,00:18:12.000,我的前輩
515,00:18:12.000,00:18:14.000,高正淺
516,00:18:14.000,00:18:16.000,我深信
517,00:18:16.000,00:18:18.000,他是有資格
518,00:18:18.000,00:18:20.000,代表我們
519,00:18:20.000,00:18:22.000,客家方
520,00:18:22.000,00:18:24.000,特別是
521,00:18:24.000,00:18:26.000,我們朝廷的主要的
522,00:18:26.000,00:18:28.000,區域
523,00:18:28.000,00:18:30.000,客家鄉親來調查
524,00:18:30.000,00:18:32.000,他對國總統候選人
525,00:18:32.000,00:18:34.000,的一些
526,00:18:34.000,00:18:36.000,認識
527,00:18:36.000,00:18:38.000,推廣
528,00:18:38.000,00:18:40.000,我就拜託一下
529,00:18:40.000,00:18:42.000,好 我們
530,00:18:42.000,00:18:44.000,最能夠親民
531,00:18:44.000,00:18:46.000,最能夠照顧我們
532,00:18:46.000,00:18:48.000,全體的總統候選人
533,00:18:48.000,00:18:50.000,侯友宜
534,00:18:50.000,00:18:52.000,總統候選人
535,00:18:52.000,00:18:54.000,還有
536,00:18:54.000,00:18:56.000,吳捷琪這個地委候選人
537,00:18:56.000,00:18:58.000,還有在場的各位貴賓
538,00:18:58.000,00:19:00.000,還有各位在場的各位美女記者
539,00:19:00.000,00:19:02.000,女士先生
