"","segment","from","to","text"
"173",173,00:06:15,00:06:17,"我才感受到原來有人是把公家的錢"
"174",174,00:06:17,00:06:19,"當成自己的錢"
"175",175,00:06:19,00:06:21,"因為當我們離開這個會議室"
"176",176,00:06:21,00:06:23,"他就把那個燈關了"
"177",177,00:06:23,00:06:25,"跟我媽媽一樣 就把燈關起來這樣"
"178",178,00:06:25,00:06:27,"後來在這個"
"179",179,00:06:27,00:06:29,"當時我們黃副市長有參與的"
"180",180,00:06:29,00:06:31,"在我們疫情期間"
"181",181,00:06:31,00:06:33,"我在媒體工作"
"182",182,00:06:33,00:06:35,"有一次我看到我們手邊"
"183",183,00:06:35,00:06:37,"非常辛苦在登記"
"184",184,00:06:37,00:06:39,"我問你你幹嘛 他說 喔"
"185",185,00:06:39,00:06:41,"師父規定阿澤要"
"186",186,00:06:41,00:06:43,"八十歲 打疫苗的"
"187",187,00:06:43,00:06:45,"全部都要上網登記"
"188",188,00:06:45,00:06:47,"我的媽媽阿嬤什麼都不會 我們在幫忙"
"189",189,00:06:47,00:06:49,"唉 我聽到說那這樣"
"190",190,00:06:49,00:06:51,"你們就不能工作 他沒有辦法"
"191",191,00:06:51,00:06:53,"就埋怨 那我也看到我們"
"192",192,00:06:53,00:06:55,"的留言 我就晚上"
"193",193,00:06:55,00:06:57,"再忍不住了 就打給吳偉大的主持"
"194",194,00:06:57,00:06:59,"我說你為什麼不上"
"195",195,00:06:59,00:07:01,"高雄市就用"
"196",196,00:07:01,00:07:03,"護身社所醫的去做"
"197",197,00:07:03,00:07:05,"又說不上其他的縣市用送的"
"198",198,00:07:05,00:07:07,"我是這樣多好"
"199",199,00:07:07,00:07:09,"他告訴我說"
"200",200,00:07:09,00:07:11,"第一個"
"201",201,00:07:11,00:07:13,"我不曉得我什麼時候可以拿到疫苗"
"202",202,00:07:13,00:07:15,"第二個 我不曉得我的疫苗"
"203",203,00:07:15,00:07:17,"是什麼樣的方式 我如果"
"204",204,00:07:17,00:07:19,"今天用這種方式 我的"
"205",205,00:07:19,00:07:21,"公務員的眼裡的耗費是不一樣的"
"206",206,00:07:21,00:07:23,"只有一個理性"
"207",207,00:07:23,00:07:25,"科學 武士"
"208",208,00:07:25,00:07:27,"只有這樣的方式才可以原諒"
"209",209,00:07:27,00:07:29,"後來我發現的確"
"210",210,00:07:29,00:07:31,"有AC 有莫德納 有輝瑞"
"211",211,00:07:31,00:07:33,"有不同的疫苗"
"212",212,00:07:33,00:07:35,"而且時間每一次的門檻是不一樣的"
"213",213,00:07:35,00:07:37,"可是在當時我非常"
"214",214,00:07:37,00:07:39,"氣憤的時候 我跟他說"
"215",215,00:07:39,00:07:41,"我說你不是上人"
"216",216,00:07:41,00:07:43,"我不要一個告訴我該怎麼做的眼"
"217",217,00:07:43,00:07:45,"我要的是一個"
"218",218,00:07:45,00:07:47,"讓人民感受到"
"219",219,00:07:47,00:07:49,"可以 很舒服的眼"
"220",220,00:07:49,00:07:51,"但是我覺得後來發現"
"221",221,00:07:51,00:07:53,"的確他的做法是正確的"
"222",222,00:07:53,00:07:55,"而且長遠"
"223",223,00:07:55,00:07:57,"我們一般人真的看不到"
"224",224,00:07:57,00:07:59,"你無法看到"
"225",225,00:07:59,00:08:01,"甚至我們有一次要做民調"
"226",226,00:08:01,00:08:03,"在一體塗料做民調"
"227",227,00:08:03,00:08:05,"在防疫記者會"
"228",228,00:08:05,00:08:07,"我們都知道台北市做得最好"
"229",229,00:08:07,00:08:09,"我心中認為台北市第一名的"
"230",230,00:08:09,00:08:11,"前面蘇美新北市"
"231",231,00:08:11,00:08:13,"我說那我還可以稍微接受一下"
"232",232,00:08:13,00:08:15,"但後來頭也輸"
"233",233,00:08:15,00:08:17,"台中也輸 蘇聯都輸"
"234",234,00:08:17,00:08:19,"台南都輸了"
"235",235,00:08:19,00:08:21,"你們沒有什麼疫情的人都輸"
"236",236,00:08:21,00:08:23,"我說這是灌票耶"
"237",237,00:08:23,00:08:25,"我就忍不住就打給我的主席"
"238",238,00:08:25,00:08:27,"我說可不可以"
"239",239,00:08:27,00:08:29,"稍微灌個票好不好"
"240",240,00:08:29,00:08:31,"你找很多人電腦弄弄"
"241",241,00:08:31,00:08:33,"他說不可以 那就要一正直克"
"242",242,00:08:33,00:08:35,"我不要做這樣的事情"
"243",243,00:08:35,00:08:37,"我也有問過一下"
"244",244,00:08:37,00:08:39,"因為我說當民調你公佈出來"
"245",245,00:08:39,00:08:41,"明明你可能是最好的"
"246",246,00:08:41,00:08:43,"你就不願意去做"
"247",247,00:08:43,00:08:45,"所以我覺得在政治的政壇上"
"248",248,00:08:45,00:08:47,"能夠看到長遠的利益"
"249",249,00:08:47,00:08:49,"而努力做自己"
"250",250,00:08:49,00:08:51,"其實是最好的一件事情"
"251",251,00:08:51,00:08:53,"怎麼樣跟民眾可以溝通"
"252",252,00:08:53,00:08:55,"而又堅持長遠"
"253",253,00:08:55,00:08:57,"對年輕人"
"254",254,00:08:57,00:08:59,"對下一代有幫助"
"255",255,00:08:59,00:09:01,"是一個非常有智慧的人"
"256",256,00:09:01,00:09:03,"需要做的判斷"
"257",257,00:09:03,00:09:05,"因為你不要為了短期利益"
"258",258,00:09:05,00:09:07,"而犧牲長期利益"
"259",259,00:09:07,00:09:09,"我們要支持一個"
"260",260,00:09:09,00:09:11,"真的不要為短期利益"
"261",261,00:09:11,00:09:13,"而犧牲長期利益"
"262",262,00:09:13,00:09:15,"是一個很重要的"
"263",263,00:09:15,00:09:17,"我還有時間嗎 對不對"
"264",264,00:09:17,00:09:19,"那我可以再講到醜女部分"
"265",265,00:09:19,00:09:23,"我自己很感觸很深"
"266",266,00:09:23,00:09:25,"這我一定要講出來的"
"267",267,00:09:25,00:09:27,"大家知道我父親是出窗外"
"268",268,00:09:27,00:09:29,"我父親96歲的時候"
"269",269,00:09:29,00:09:31,"有一天忽然摔跤不舒服"
"270",270,00:09:31,00:09:33,"送到醫院"
"271",271,00:09:33,00:09:35,"醫院後來說"
"272",272,00:09:35,00:09:37,"擦的管的時候有點黏"
"273",273,00:09:37,00:09:39,"鼻血管的時候還有點流血"
"274",274,00:09:39,00:09:41,"說是不是要做一個MRI"
"275",275,00:09:41,00:09:43,"做一個衛競掃描"
"276",276,00:09:43,00:09:45,"那我當下想知道我問誰"
"277",277,00:09:45,00:09:47,"我就想說我還有個朋友"
"278",278,00:09:47,00:09:49,"是醫生不是嗎"
"279",279,00:09:49,00:09:51,"我趕緊就問了柯主席"
"280",280,00:09:51,00:09:53,"柯主席就告訴我說"
"281",281,00:09:53,00:09:55,"他說你的父親年紀這麼大"
"282",282,00:09:55,00:09:57,"做這些醫療動作其實是不對的"
"283",283,00:09:57,00:09:59,"他就說他想了半天"
"284",284,00:09:59,00:10:01,"他這樣 這樣"
"285",285,00:10:01,00:10:03,"你是一個女強人"
"286",286,00:10:03,00:10:05,"我來幫你當翻譯局"
"287",287,00:10:05,00:10:07,"我想我哪是女強人"
"288",288,00:10:07,00:10:09,"我明明看起來溫柔可愛"
"289",289,00:10:09,00:10:11,"他既然這樣說我說好吧"
"290",290,00:10:11,00:10:13,"他就陪著我到醫院去"
"291",291,00:10:13,00:10:15,"一次是晚上的8點多"
"292",292,00:10:15,00:10:17,"一次是9點多"
"293",293,00:10:17,00:10:19,"他希望面對醫生"
"294",294,00:10:19,00:10:21,"跟我講實情"
"295",295,00:10:21,00:10:23,"他擔心因為我父親畢竟是"
"296",296,00:10:23,00:10:25,"這系醫院的董事"
"297",297,00:10:25,00:10:27,"很多實話可能不敢跟他說"
"298",298,00:10:27,00:10:29,"他在當中他可以看到狀況"
"299",299,00:10:29,00:10:31,"所以我覺得從那個當下"
"300",300,00:10:31,00:10:33,"我覺得我看到柯先生"
"301",301,00:10:33,00:10:35,"很細膩的那一面"
"302",302,00:10:35,00:10:37,"第二他跟我其實沒那麼熟"
"303",303,00:10:37,00:10:39,"但是我是一個女強人"
"304",304,00:10:39,00:10:41,"我也覺得我也很驚訝"
"305",305,00:10:41,00:10:43,"因為一般人看到我"
"306",306,00:10:43,00:10:45,"像你們看到我覺得說我溫柔可愛嗎"
"307",307,00:10:45,00:10:47,"沒有人會這樣說我的"
"308",308,00:10:47,00:10:49,"觀察力非常地無畏"
"309",309,00:10:49,00:10:51,"就是我的感受"
"310",310,00:10:51,00:10:53,"那到了最後那一天"
"311",311,00:10:53,00:10:55,"我父親有點昏迷"
"312",312,00:10:55,00:10:57,"那我從嘉義趕回去"
"313",313,00:10:57,00:10:59,"當時柯主席也來"
"314",314,00:10:59,00:11:01,"然後衛生"
"315",315,00:11:01,00:11:03,"他所有的組織醫生都在"
"316",316,00:11:03,00:11:05,"他們說有一點點"
"317",317,00:11:05,00:11:07,"不需要去解決這個感覺"
"318",318,00:11:07,00:11:09,"洗腎就好"
"319",319,00:11:09,00:11:11,"我覺得你開心洗腎就可以清醒"
"320",320,00:11:11,00:11:13,"多好的心情啊多棒啊"
"321",321,00:11:13,00:11:15,"那柯先生講話"
"322",322,00:11:15,00:11:17,"第一次柯先生就問我說"
"323",323,00:11:17,00:11:19,"柯元你是怎麼來的"
"324",324,00:11:19,00:11:21,"他說我坐計程車過來的"
"325",325,00:11:21,00:11:23,"換你坐我的車回去"
"326",326,00:11:23,00:11:25,"我說不需要很方便"
"327",327,00:11:25,00:11:27,"我坐計程車很方便"
"328",328,00:11:27,00:11:29,"換你坐我的車回去"
"329",329,00:11:29,00:11:31,"我當下坐上他的車子"
"330",330,00:11:31,00:11:33,"我們兩個都沒講話"
"331",331,00:11:33,00:11:35,"我坐著手機"
"332",332,00:11:35,00:11:37,"我就知道他的意思"
"333",333,00:11:37,00:11:39,"他當時其實很想勸我放棄"
"334",334,00:11:39,00:11:41,"我回去給他寫了一個"
"335",335,00:11:41,00:11:43,"我說行我知道你的意思"
"336",336,00:11:43,00:11:45,"可是我的父親早上還在跟我玩"
"337",337,00:11:45,00:11:47,"去穿插他的衣服"
"338",338,00:11:47,00:11:49,"我說也許我將來會後悔"
"339",339,00:11:49,00:11:51,"我讓他做一些事情"
"340",340,00:11:51,00:11:53,"但是我現在我可能很難"
"341",341,00:11:53,00:11:55,"所以我覺得柯先生的每一個動作"
"342",342,00:11:55,00:11:57,"每一個事情"
"343",343,00:11:57,00:11:59,"他其實是非常體貼"
"344",344,00:11:59,00:12:01,"但他不是很善於表達"
"345",345,00:12:01,00:12:03,"他完全沒有醜惡"
"346",346,00:12:03,00:12:05,"因為每次我們在活動"
"347",347,00:12:05,00:12:07,"有什麼狀況"
"348",348,00:12:07,00:12:09,"有一次我們去幹一個會議"
"349",349,00:12:09,00:12:11,"大家知道我以前東森集團"
"350",350,00:12:11,00:12:13,"我的前長官是王立民總裁"
"351",351,00:12:13,00:12:15,"我說總裁你位子比較大"
"352",352,00:12:15,00:12:17,"你跟柯先生坐一起就互換位子"
"353",353,00:12:17,00:12:19,"謝謝大家"
"354",354,00:12:19,00:12:21,"謝謝"
"355",355,00:12:21,00:12:23,"謝謝"
"356",356,00:12:23,00:12:25,"謝謝"
"357",357,00:12:25,00:12:27,"謝謝"
"358",358,00:12:27,00:12:29,"謝謝"
"359",359,00:12:29,00:12:31,"謝謝"
"360",360,00:12:31,00:12:33,"謝謝"
"361",361,00:12:33,00:12:35,"謝謝"
"362",362,00:12:35,00:12:37,"謝謝"
"363",363,00:12:37,00:12:39,"謝謝"
"364",364,00:12:39,00:12:41,"謝謝"
"365",365,00:12:41,00:12:43,"謝謝"
"366",366,00:12:43,00:12:45,"謝謝"
"367",367,00:12:45,00:12:47,"謝謝"
"368",368,00:12:47,00:12:49,"謝謝"
"369",369,00:12:49,00:12:51,"謝謝"
"370",370,00:12:51,00:12:53,"謝謝"
"371",371,00:12:53,00:12:55,"謝謝"
"372",372,00:12:55,00:13:19,"如果你误会传达任务"
"373",373,00:13:19,00:13:32,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"374",374,00:13:32,00:13:48,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"375",375,00:13:48,00:14:08,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"376",376,00:14:08,00:14:28,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"377",377,00:14:28,00:14:48,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"378",378,00:14:48,00:15:08,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"379",379,00:15:09,00:15:29,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"380",380,00:15:29,00:15:49,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"381",381,00:15:49,00:16:09,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"382",382,00:16:09,00:16:29,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"383",383,00:16:29,00:16:49,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"384",384,00:16:49,00:17:09,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"385",385,00:17:10,00:17:30,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"386",386,00:17:30,00:17:50,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"387",387,00:17:50,00:18:12,"请不吝点赞 订阅 转发 打赏支持明镜与点点栏目"
"388",388,00:18:12,00:18:14,"好 各位媒体朋友们早安"
"389",389,00:18:14,00:18:17,"还有正在收看直播的观众朋友们大家好"
"390",390,00:18:17,00:18:19,"让大家久等了"
"391",391,00:18:19,00:18:21,"今天我们特别召开了这场记者会"
"392",392,00:18:21,00:18:24,"那么台北市前市长柯文哲"
"393",393,00:18:24,00:18:27,"还有我们现任的民众党党主席柯文哲"
"394",394,00:18:27,00:18:31,"同时他也是我们民众党的总统参选人"
"395",395,00:18:31,00:18:34,"他马不停蹄地推出许多的国政蓝图"
"396",396,00:18:34,00:18:37,"即我们的医疗政策 长照 教育"
"397",397,00:18:37,00:18:41,"还有内阁制 还权渔民等重大政策的发表之后"
"398",398,00:18:41,00:18:44,"今天我们再度召开了守护财政纪律"
"399",399,00:18:44,00:18:48,"为你牢牢守住每一块血汗钱记者会"
"400",400,00:18:48,00:18:52,"针对国家的财政分配不公 数字管理失灵"
"401",401,00:18:52,00:18:55,"还有特别预算常态化 急需税制改革"
"402",402,00:18:55,00:18:58,"等等多项问题提出了解决的方针"
"403",403,00:18:58,00:19:01,"其中柯文哲将提出要成立统筹分配款的"
"404",404,00:19:01,00:19:03,"分配委员会"
"405",405,00:19:03,00:19:06,"并且要召开全国赋税改革会议"
"406",406,00:19:06,00:19:10,"针对许多不合时宜的税制来彻底的进行改革"
"407",407,00:19:10,00:19:13,"非常高兴今天在我们的记者会现场"
"408",408,00:19:13,00:19:16,"除了众多的媒体朋友 还有我们线上的直播朋友"
"409",409,00:19:16,00:19:20,"同步在关心之外 我要来介绍今天与会的成员还有来宾"
"410",410,00:19:20,00:19:25,"但首先就要先介绍柯文哲总统裁选人"
"411",411,00:19:25,00:19:31,"好 接下来让我介绍的是政大财政系名誉教授曾俊威教授"
"412",412,00:19:31,00:19:36,"台北商业大学财税系教授罗石万教授"
"413",413,00:19:36,00:19:42,"以及我们柯文哲竞选办公室的总干事黄珊珊"
"414",414,00:19:42,00:19:45,"我想大家应该都迫不及待想要了解"
"415",415,00:19:45,00:19:49,"到底我们的财政改革还有如何要促进公平的赋税"
"416",416,00:19:49,00:19:51,"守住财政纪律"
"417",417,00:19:51,00:19:53,"接下来我们就有请柯文哲总统参选人"
"418",418,00:19:53,00:19:56,"来为大家发表他的国政蓝图"
"419",419,00:19:56,00:20:01,"好 这个 这样也够灯光可以"
"420",420,00:20:01,00:20:07,"OK 今天来讲一个大家都很关心的题目 财政纪律"
"421",421,00:20:07,00:20:13,"因为这也是当前小英政府做的比较差的一部分"
"422",422,00:20:13,00:20:15,"下一段"
"423",423,00:20:15,00:20:21,"那坚守财政纪律避免信贷台湾"
"424",424,00:20:21,00:20:24,"我们今天的主题有几样"
"425",425,00:20:24,00:20:26,"先说这个叫大纲"
"426",426,00:20:26,00:20:31,"一般补助款跟统筹分配税款的分配机制"
"427",427,00:20:31,00:20:35,"就是我们一般俗称的中央以地方财政收支划分法"
"428",428,00:20:35,00:20:38,"这个已经20年没有修改了"
"429",429,00:20:38,00:20:41,"然后每一个政党在执政前都说要修"
"430",430,00:20:41,00:20:45,"等到执政以后就发现 钱是我再花了 他就不肯修了"
"431",431,00:20:45,00:20:48,"所以20年来都一直没有处理"
"432",432,00:20:48,00:20:50,"那这个一定要处理"
"433",433,00:20:50,00:20:54,"因为这个会造成很多问题 等一下会一一说明"
"434",434,00:20:54,00:20:58,"他这个目标就是说让地方的财政可以自主 达到均衡发展"
"435",435,00:20:58,00:21:00,"为什么你知道吗"
"436",436,00:21:00,00:21:04,"地方那财政不足 他的钱都要靠中央补助他"
"437",437,00:21:04,00:21:06,"这就形成一个很奇怪的现象"
"438",438,00:21:06,00:21:12,"他对明年的财政收入到底有多少 他也没什么把握"
"439",439,00:21:12,00:21:15,"变成都要两人鼻息"
"440",440,00:21:15,00:21:19,"就是这个地方政府变成被中央政府要看中央政府脸色"
"441",441,00:21:19,00:21:25,"这也造成我们今天台湾为什么不同的颜色 在轮流执政的时候"
"442",442,00:21:25,00:21:30,"会对我们的政策造成很多的这种政策连续的伤害"
"443",443,00:21:30,00:21:33,"另外一个是这样 我们等一下讲我们税"
"444",444,00:21:33,00:21:36,"台湾的税有很多很奇怪的问题 拿出来讲"
"445",445,00:21:36,00:21:40,"那再就是不要大撒币政策"
