segment,from,to,speaker,text,,,,,,
89,0:05:55,0:05:57,侯友宜,要不斷的延續下去,,,,,,
90,0:05:57,0:06:01,侯友宜,才有能力去經濟國際運動賽事,,,,,,
91,0:06:01,0:06:04,侯友宜,這也是一個挑戰,,,,,,
92,0:06:04,0:06:07,侯友宜,不但運動賽事,,,,,,
93,0:06:07,0:06:11,侯友宜,這些傳承的人才斷層,,,,,,
94,0:06:11,0:06:14,侯友宜,最重要的我們的運動產業,,,,,,
95,0:06:14,0:06:20,侯友宜,我們的運動產業的產值只佔1.25%,,,,,,
96,0:06:20,0:06:23,侯友宜,比韓國的3%還低,,,,,,
97,0:06:23,0:06:25,侯友宜,尤其運動就業的人口,,,,,,
98,0:06:25,0:06:27,侯友宜,我們只有2.21%,,,,,,
99,0:06:27,0:06:29,侯友宜,比例都很低,,,,,,
100,0:06:29,0:06:33,侯友宜,所以如何讓我們的運動產業以及就業人口,,,,,,
101,0:06:33,0:06:35,侯友宜,能夠薪資提升以外,,,,,,
102,0:06:35,0:06:37,侯友宜,產值能夠增高,,,,,,
103,0:06:37,0:06:42,侯友宜,讓運動產業變成我們台灣很重要的一個產業,,,,,,
104,0:06:42,0:06:45,侯友宜,這也是我們國家要持續發展的,,,,,,
105,0:06:45,0:06:49,侯友宜,尤其台灣運動人口有規律的運動,,,,,,
106,0:06:49,0:06:54,侯友宜,根據統計大概佔34%,,,,,,
107,0:06:54,0:07:00,侯友宜,在美國先進國家大概佔43.5%,,,,,,
108,0:07:00,0:07:05,侯友宜,所以台灣有規律的運動人口比先進國家還落後,,,,,,
109,0:07:05,0:07:11,侯友宜,所以這個問題就是希望大家養成一個運動良好的習慣,,,,,,
110,0:07:11,0:07:13,侯友宜,發展運動產業,,,,,,
111,0:07:13,0:07:16,侯友宜,也讓國人能夠身體健康,,,,,,
112,0:07:16,0:07:19,侯友宜,所以這個都是一個很重要的,,,,,,
113,0:07:19,0:07:21,侯友宜,除了這個部分以外,,,,,,
114,0:07:21,0:07:26,侯友宜,我們的運動據點如何帶動全台灣運動風氣的紀念,,,,,,
115,0:07:26,0:07:28,侯友宜,鼓勵大家一起來運動,,,,,,
116,0:07:28,0:07:31,侯友宜,這也是我今天提出來,,,,,,
117,0:07:31,0:07:35,侯友宜,希望我們在體育政策裡面,,,,,,
118,0:07:35,0:07:37,侯友宜,能夠增亞運,,,,,,
119,0:07:37,0:07:40,侯友宜,興產業好運點,,,,,,
120,0:07:40,0:07:42,侯友宜,這些讓我有依賴改變,,,,,,
121,0:07:42,0:07:49,侯友宜,這幾項裡面我特別講幾個最重要的體育政策,,,,,,
122,0:07:49,0:07:55,侯友宜,第一個我們全力爭取2038年,,,,,,
123,0:07:55,0:07:59,侯友宜,台灣來舉辦亞運,,,,,,
124,0:07:59,0:08:02,侯友宜,台灣從中央到地方,,,,,,
125,0:08:02,0:08:05,侯友宜,其實我們是有實力的,,,,,,
126,0:08:05,0:08:09,侯友宜,因為我們雙北運動會經常舉辦,,,,,,
127,0:08:09,0:08:13,侯友宜,甚至可以結合其他各縣市大家一起來舉辦,,,,,,
128,0:08:13,0:08:16,侯友宜,中央地方只要大家同心齊力,,,,,,
129,0:08:16,0:08:21,侯友宜,一起來爭取2038年亞運在台灣,,,,,,
130,0:08:21,0:08:24,侯友宜,我們絕對可以勝任,,,,,,
131,0:08:24,0:08:26,侯友宜,所以在這個過程當中,,,,,,
132,0:08:26,0:08:31,侯友宜,我們要成立一個國際運動賽會的管理中心,,,,,,
133,0:08:31,0:08:33,侯友宜,國際運動賽會管理中心,,,,,,
134,0:08:33,0:08:38,侯友宜,就是在培育人才承辦的經驗的這些人,,,,,,
135,0:08:38,0:08:44,侯友宜,然後從現在開始就成立國際賽會的運動管理中心,,,,,,
136,0:08:44,0:08:48,侯友宜,讓我們賽事的這些專業人才,,,,,,
137,0:08:48,0:08:52,侯友宜,能夠不斷的在這場賽事裡面,,,,,,
138,0:08:52,0:08:55,侯友宜,我們將將管理中心的永續,,,,,,
139,0:08:55,0:08:58,侯友宜,未來再辦很多的賽事,,,,,,
140,0:08:58,0:09:01,侯友宜,就可以靠管理中心來辦理賽事,,,,,,
141,0:09:01,0:09:06,侯友宜,這2038年的亞運在台灣我們先成立這樣一個管理中心,,,,,,
142,0:09:06,0:09:08,侯友宜,除了成立管理中心以外,,,,,,
143,0:09:08,0:09:10,侯友宜,我們要積極的去經濟,,,,,,
144,0:09:10,0:09:14,侯友宜,我們台灣要展現我們國際的知名度,,,,,,
145,0:09:14,0:09:16,侯友宜,不管是哪一個城市舉辦,,,,,,
146,0:09:16,0:09:18,侯友宜,不管哪一個地點舉辦,,,,,,
147,0:09:18,0:09:20,侯友宜,要展現我們的決心,,,,,,
148,0:09:20,0:09:22,侯友宜,然後把我們的國際的力量,,,,,,
149,0:09:22,0:09:25,侯友宜,競爭力量把它展現出來,,,,,,
150,0:09:25,0:09:26,侯友宜,第二個部分,,,,,,
151,0:09:26,0:09:30,侯友宜,國家要打造一個運動科學中心的2.0,,,,,,
152,0:09:30,0:09:34,侯友宜,啟動運動產業升級跟全球化,,,,,,
153,0:09:34,0:09:38,侯友宜,今天我們貝斯佩拉棒球學校,,,,,,
154,0:09:38,0:09:41,侯友宜,就是一個最重要的典範學習,,,,,,
155,0:09:41,0:09:45,侯友宜,讓這個運動科技就像工研院一樣,,,,,,
156,0:09:45,0:09:47,侯友宜,不但去研發發展,,,,,,
157,0:09:47,0:09:50,侯友宜,台灣光辦馬拉松比賽,,,,,,
158,0:09:50,0:09:52,侯友宜,一年就有好幾百場,,,,,,
159,0:09:52,0:09:54,侯友宜,這麼多場它需要的產業,,,,,,
160,0:09:54,0:09:56,侯友宜,就有很多可以升級,,,,,,
161,0:09:56,0:09:58,侯友宜,比如說它的護具、護腕,,,,,,
162,0:09:58,0:09:59,侯友宜,甚至跑步,,,,,,
163,0:09:59,0:10:01,侯友宜,這些相關的衣服,,,,,,
164,0:10:01,0:10:04,侯友宜,其實它可以發展很多運動產業,,,,,,
165,0:10:04,0:10:07,侯友宜,所以這個運動產業如何讓它科技化,,,,,,
166,0:10:07,0:10:10,侯友宜,能夠跟時代走到一塊,,,,,,
167,0:10:10,0:10:13,侯友宜,台灣要用運動科技的概念,,,,,,
168,0:10:13,0:10:15,侯友宜,以及發展運動產業,,,,,,
169,0:10:15,0:10:18,侯友宜,來造就我們產業升級,,,,,,
170,0:10:18,0:10:20,侯友宜,而且可以跟全球來競爭,,,,,,
171,0:10:20,0:10:22,侯友宜,除了這個部分以外,,,,,,
172,0:10:22,0:10:25,侯友宜,我一直覺得國民運動中心很重要,,,,,,
173,0:10:25,0:10:27,侯友宜,新北46所,,,,,,
174,0:10:27,0:10:30,侯友宜,我覺得我們還有能力可以繼續蓋下去,,,,,,
175,0:10:30,0:10:32,侯友宜,因為當時規定是每一個行政區,,,,,,
176,0:10:32,0:10:34,侯友宜,15萬人要蓋一所,,,,,,
177,0:10:34,0:10:36,侯友宜,但是我們慢慢的發現,,,,,,
178,0:10:36,0:10:38,侯友宜,像泰山的國民運動中心,,,,,,
179,0:10:38,0:10:39,侯友宜,使用率很高啊,,,,,,
180,0:10:39,0:10:41,侯友宜,它如果沒有到15萬啊,,,,,,
181,0:10:41,0:10:43,侯友宜,就很多人就一直在使用啊,,,,,,
182,0:10:43,0:10:45,侯友宜,那我一直覺得,,,,,,
183,0:10:45,0:10:48,侯友宜,除了在都會現在的國民運動中心,,,,,,
184,0:10:48,0:10:50,侯友宜,要不斷的發展下去,,,,,,
185,0:10:50,0:10:52,侯友宜,運動據點要走下去以外,,,,,,
186,0:10:52,0:10:55,侯友宜,我們要考慮全台灣,,,,,,
187,0:10:55,0:10:57,侯友宜,還有很多的縣市,,,,,,
188,0:10:57,0:11:00,侯友宜,並沒有國民運動中心,,,,,,
189,0:11:00,0:11:03,侯友宜,所以每30萬人以上,,,,,,
190,0:11:03,0:11:06,侯友宜,我們就要有一所,,,,,,
191,0:11:06,0:11:09,侯友宜,甚至像高雄、台南,,,,,,
192,0:11:09,0:11:10,侯友宜,還有好幾所沒有做到,,,,,,
193,0:11:10,0:11:11,侯友宜,包括彰化,,,,,,
194,0:11:11,0:11:13,侯友宜,我們一共還可以蓋兩所,,,,,,
195,0:11:13,0:11:16,侯友宜,其實國民運動中心普及化,,,,,,
196,0:11:16,0:11:18,侯友宜,運動據點普及化,,,,,,
197,0:11:18,0:11:20,侯友宜,這就是我們讓全民運動,,,,,,
198,0:11:20,0:11:22,侯友宜,最好的一個點,,,,,,
199,0:11:22,0:11:24,侯友宜,當然最主要要鼓勵大家,,,,,,
200,0:11:24,0:11:26,侯友宜,用運動好點,,,,,,
201,0:11:26,0:11:28,侯友宜,養成一個良好的習慣,,,,,,
202,0:11:28,0:11:30,侯友宜,然後可以使用APP操作,,,,,,
203,0:11:30,0:11:33,侯友宜,類似像台北的U幣,,,,,,
204,0:11:33,0:11:35,侯友宜,台北的U幣的運動好點,,,,,,
205,0:11:35,0:11:36,侯友宜,你到運動以後,,,,,,
206,0:11:36,0:11:38,侯友宜,你就可以收集點數,,,,,,
207,0:11:38,0:11:39,侯友宜,可以鼓勵自己,,,,,,
208,0:11:39,0:11:41,侯友宜,所以運動好點,,,,,,
209,0:11:41,0:11:44,侯友宜,可以串聯全台灣的國民運動中心,,,,,,
210,0:11:44,0:11:46,侯友宜,大家一起來使用運動好點,,,,,,
211,0:11:46,0:11:49,侯友宜,鼓勵大家來好好的運動,,,,,,
212,0:11:49,0:11:51,侯友宜,變成有回饋機制,,,,,,
213,0:11:51,0:11:53,侯友宜,最主要的,,,,,,
214,0:11:53,0:11:55,侯友宜,我們現在運動中心,,,,,,
215,0:11:55,0:11:59,侯友宜,大概只在我們國際體育日,,,,,,
216,0:11:59,0:12:01,侯友宜,免費使用一次,,,,,,
217,0:12:01,0:12:03,侯友宜,未來我當總統,,,,,,
218,0:12:03,0:12:05,侯友宜,一定把國民運動中心,,,,,,
219,0:12:05,0:12:09,侯友宜,每人每週免費運動一次,,,,,,
220,0:12:09,0:12:11,侯友宜,提升我們規律運動人口,,,,,,
221,0:12:11,0:12:14,侯友宜,我想這些運動絕對值得,,,,,,
222,0:12:14,0:12:16,侯友宜,每人每週你來一次,,,,,,
223,0:12:16,0:12:18,侯友宜,我就給你免費,,,,,,
224,0:12:18,0:12:20,侯友宜,不要說一人才免費一次,,,,,,
225,0:12:20,0:12:22,侯友宜,讓大家願意到我們國民運動中心,,,,,,
226,0:12:22,0:12:24,侯友宜,多多來使用,,,,,,
227,0:12:24,0:12:25,侯友宜,讓自己身體健康,,,,,,
228,0:12:25,0:12:29,侯友宜,維持一個規律的運動習慣,,,,,,
229,0:12:29,0:12:30,侯友宜,這非常的重要,,,,,,
230,0:12:30,0:12:34,侯友宜,所以這幾項就提出來的運動,,,,,,
231,0:12:34,0:12:36,侯友宜,這種體育政策,,,,,,
232,0:12:36,0:12:38,侯友宜,所以期待這些體育政策,,,,,,
233,0:12:38,0:12:41,侯友宜,能夠讓我們全民都運動,,,,,,
234,0:12:41,0:12:43,侯友宜,保持一個良好的運動習慣,,,,,,
235,0:12:43,0:12:45,侯友宜,謝謝大家 謝謝,,,,,,
238,0:12:49,0:12:51,主持人,接下來我們也邀請長期在基層,,,,,,
239,0:12:51,0:12:54,主持人,推動級棒球運動的立委參選人,,,,,,
240,0:12:54,0:12:56,主持人,蔡明堂來為大家說幾句話,,,,,,
241,0:12:56,0:13:00,蔡明堂,謝謝侯市長 我們未來的總統,,,,,,
242,0:13:00,0:13:03,蔡明堂,能提出我們國家的體育政策,,,,,,
243,0:13:03,0:13:08,蔡明堂,也歡迎他今天到貝斯佩拉棒球學校,,,,,,
244,0:13:08,0:13:11,蔡明堂,其實這個學校對我們學校的棒球隊,,,,,,
245,0:13:11,0:13:13,蔡明堂,有相當的意義,,,,,,
246,0:13:13,0:13:15,蔡明堂,我們都是利用一些運動科學,,,,,,
247,0:13:15,0:13:17,蔡明堂,來輔助我們的選手,,,,,,
248,0:13:17,0:13:20,蔡明堂,來達到他的成績,,,,,,
249,0:13:20,0:13:25,蔡明堂,替我們國家爭取好的榮譽,,,,,,
250,0:13:25,0:13:27,蔡明堂,侯市長要參選總統,,,,,,
251,0:13:27,0:13:28,蔡明堂,他有他的看法,,,,,,
252,0:13:28,0:13:31,蔡明堂,他不只在新北市成立運動中心,,,,,,
253,0:13:31,0:13:36,蔡明堂,他更希望未來在他當總統的時候,,,,,,
254,0:13:36,0:13:40,蔡明堂,在全台灣固定的人口中,,,,,,
255,0:13:40,0:13:42,蔡明堂,就會成立一個運動中心,,,,,,
256,0:13:42,0:13:44,蔡明堂,為什麼要全民運動呢,,,,,,
257,0:13:44,0:13:49,蔡明堂,全民運動可以增加我們國民運動的健康,,,,,,
258,0:13:49,0:13:52,蔡明堂,也可以減少我們勞保的支出,,,,,,
259,0:13:52,0:13:55,蔡明堂,我想全民運動就是一個國力,,,,,,
260,0:13:55,0:13:59,蔡明堂,所以今天我們侯市長未來的總統,,,,,,
261,0:13:59,0:14:01,蔡明堂,能提出這樣的體育政策,,,,,,
262,0:14:01,0:14:04,蔡明堂,對我們國家未來有最大的好處,,,,,,
263,0:14:04,0:14:05,蔡明堂,如果我們當選立委,,,,,,
264,0:14:05,0:14:07,蔡明堂,一定全力來支持他,,,,,,
265,0:14:07,0:14:12,蔡明堂,充實我們的運動設備 運動設施,,,,,,
266,0:14:12,0:14:14,蔡明堂,來增加我們國人的健康,,,,,,
267,0:14:14,0:14:16,蔡明堂,這才是我們最基本的,,,,,,
268,0:14:16,0:14:17,蔡明堂,謝謝各位 謝謝,,,,,,
269,0:14:17,0:14:19,主持人,好 謝謝我們的下面一位支持者,,,,,,
270,0:14:19,0:14:21,主持人,我們聽完侯教練的說法,,,,,,
271,0:14:21,0:14:22,主持人,現在台灣大賽正在打,,,,,,
272,0:14:22,0:14:24,主持人,我們來聽一下資深球迷,,,,,,
273,0:14:24,0:14:27,主持人,我們立委 洪委員說法,,,,,,
274,0:14:27,0:14:29,洪孟楷,謝謝,,,,,,
275,0:14:29,0:14:31,洪孟楷,謝謝我們侯友宜市長,,,,,,
276,0:14:31,0:14:34,洪孟楷,侯友宜總統候選人,,,,,,
277,0:14:34,0:14:36,洪孟楷,身為中華職棒30年的球迷,,,,,,
278,0:14:36,0:14:40,洪孟楷,孟凱非常感動 感謝,,,,,,
279,0:14:40,0:14:42,洪孟楷,侯友宜市長過去在他任內,,,,,,
280,0:14:42,0:14:45,洪孟楷,能夠把那麼高科技訓練化,,,,,,
281,0:14:45,0:14:48,洪孟楷,媲美大聯盟的棒球訓練基地,,,,,,
282,0:14:48,0:14:51,洪孟楷,訓練教室落腳在新北,,,,,,
283,0:14:51,0:14:53,洪孟楷,我們都說棒球是我們的國球,,,,,,
284,0:14:53,0:14:55,洪孟楷,我們也希望這樣子的一個,,,,,,
285,0:14:55,0:14:59,洪孟楷,現代化 科學化 科技化的訓練方式,,,,,,
286,0:14:59,0:15:01,洪孟楷,訓練設施能夠推廣,,,,,,
287,0:15:01,0:15:05,洪孟楷,讓我們的國小 國中 高中 大專,,,,,,
288,0:15:05,0:15:09,洪孟楷,三級棒球 五級棒球都能夠使用得到,,,,,,
289,0:15:09,0:15:13,洪孟楷,這才是從下扎根 根根本本,,,,,,
290,0:15:13,0:15:18,洪孟楷,培養我們國手 中華隊好手的根本之道,,,,,,
291,0:15:18,0:15:22,洪孟楷,我們看到大聯盟現在最有名的選手,,,,,,
292,0:15:22,0:15:25,洪孟楷,二刀流大谷翔平是亞洲人,,,,,,
293,0:15:25,0:15:27,洪孟楷,也因此我們過去講,,,,,,
294,0:15:27,0:15:31,洪孟楷,亞洲的體格已經不輸給歐美人士,,,,,,
295,0:15:31,0:15:35,洪孟楷,未來我們也希望我們有更多的張育成,,,,,,
296,0:15:35,0:15:38,洪孟楷,我們有更多的棒球好手,,,,,,
297,0:15:38,0:15:40,洪孟楷,能夠在大聯盟發光發熱,,,,,,
298,0:15:40,0:15:43,洪孟楷,和2038年爭取亞歷,,,,,,
299,0:15:43,0:15:47,洪孟楷,用重大國際賽事來帶動我們所有的體育發展,,,,,,
300,0:15:47,0:15:49,洪孟楷,我想這是正確不過的,,,,,,
301,0:15:49,0:15:53,洪孟楷,並且我們也希望運動不只是文化,,,,,,
302,0:15:53,0:15:55,洪孟楷,更是產業,,,,,,
303,0:15:55,0:15:57,洪孟楷,所以過去我在第十屆立委任內,,,,,,
304,0:15:57,0:16:01,洪孟楷,我們有提出我們希望能夠爭取體育署升格,,,,,,
305,0:16:01,0:16:03,洪孟楷,變成運動發展部,,,,,,
306,0:16:03,0:16:06,洪孟楷,我們也希望未來這樣的一個想法,,,,,,
307,0:16:06,0:16:09,洪孟楷,能夠讓侯友宜當選總統之後,,,,,,
308,0:16:09,0:16:12,洪孟楷,盤點我們國家的資源,,,,,,
309,0:16:12,0:16:14,洪孟楷,不要再疊床架屋,,,,,,
310,0:16:14,0:16:19,洪孟楷,而根根本本把我們的行政院和預算做調整,,,,,,
311,0:16:19,0:16:22,洪孟楷,讓運動發展部能夠落實,,,,,,
312,0:16:22,0:16:26,洪孟楷,當運動發展變成文化變成產業,,,,,,
313,0:16:26,0:16:29,洪孟楷,變成我們生活裡的DNA的一部分的時候,,,,,,
314,0:16:29,0:16:33,洪孟楷,相信中華民國國力會更強,,,,,,
315,0:16:33,0:16:35,洪孟楷,再次感謝我們侯友宜市長,,,,,,
316,0:16:35,0:16:36,洪孟楷,侯友宜總統選人,,,,,,
317,0:16:36,0:16:38,洪孟楷,來我們貝斯貝拉,,,,,,
318,0:16:38,0:16:42,洪孟楷,一起努力我們為台灣體育運動加油,,,,,,
319,0:16:42,0:16:45,主持人,好我們一起為台灣的運動加油,,,,,,
320,0:16:45,0:16:48,主持人,那我們現在媒體聯訪時間,,,,,,
333,0:17:16,0:17:17,記者,市長先問一下,,,,,,
334,0:17:17,0:17:19,記者,因為蔡政府執政七年多,,,,,,
335,0:17:19,0:17:20,記者,然後有各種國家隊,,,,,,
336,0:17:20,0:17:22,記者,像防疫國家隊還有綠能國家隊,,,,,,
337,0:17:22,0:17:24,記者,但是這政策其實都飽受質疑,,,,,,
338,0:17:24,0:17:25,記者,甚至是被人承認,,,,,,
339,0:17:25,0:17:28,記者,那這國家隊真的也變成一個負面的行動,,,,,,
340,0:17:28,0:17:31,侯友宜,真正的國家隊,,,,,,
341,0:17:31,0:17:33,侯友宜,就像我們體育選手,,,,,,
342,0:17:33,0:17:34,侯友宜,為國爭光,,,,,,
343,0:17:34,0:17:36,侯友宜,那才叫國家隊,,,,,,
344,0:17:36,0:17:39,侯友宜,民進黨政府的國家隊,,,,,,
345,0:17:39,0:17:43,侯友宜,你可以看什麼叫做疫苗採購國家隊,,,,,,
346,0:17:43,0:17:45,侯友宜,綠電國家隊,,,,,,
347,0:17:45,0:17:47,侯友宜,詐騙國家隊,,,,,,
348,0:17:47,0:17:49,侯友宜,結果打炸打到飯店,,,,,,
349,0:17:49,0:17:52,侯友宜,越來越多的詐騙,,,,,,
350,0:17:52,0:17:55,侯友宜,我們綠電,,,,,,
351,0:17:55,0:17:57,侯友宜,弊案叢生,,,,,,
352,0:17:57,0:17:59,侯友宜,連疫苗採購,,,,,,
353,0:17:59,0:18:00,侯友宜,也沒有講得很清楚,,,,,,
354,0:18:00,0:18:03,侯友宜,弊案都沒有去查,,,,,,
355,0:18:03,0:18:06,侯友宜,所以民進黨政府的國家隊,,,,,,
356,0:18:06,0:18:09,侯友宜,真正的好好去面對人民,,,,,,
357,0:18:09,0:18:11,侯友宜,一件一件說清楚,,,,,,
358,0:18:11,0:18:13,侯友宜,如果我們的國家隊,,,,,,
359,0:18:13,0:18:14,侯友宜,是一個負面名詞,,,,,,
360,0:18:14,0:18:16,侯友宜,不把它查清楚,,,,,,
361,0:18:16,0:18:20,侯友宜,以後換侯友宜上來當總統,,,,,,
362,0:18:20,0:18:23,侯友宜,我就一件一件查清楚,,,,,,
363,0:18:23,0:18:26,侯友宜,讓國家隊真的是為國爭光,,,,,,
364,0:18:26,0:18:28,侯友宜,不是弊案叢生,,,,,,
365,0:18:28,0:18:31,侯友宜,還給人民一個公平的正義,,,,,,
366,0:18:31,0:18:32,記者,市長,,,,,,
367,0:18:32,0:18:33,記者,郭總統 賴清德昨天說,,,,,,
368,0:18:33,0:18:35,記者,台灣這條船已經航行在正確的路上,,,,,,
369,0:18:35,0:18:38,記者,但藍白還在岸上吵著誰要當船長,,,,,,
370,0:18:38,0:18:39,記者,還是說根據現在民調,,,,,,
371,0:18:39,0:18:41,記者,有80%是反對藍營執政,,,,,,
372,0:18:41,0:18:44,記者,然後80%是反對民眾黨執政,,,,,,
373,0:18:44,0:18:46,記者,不管藍或白都不是台灣的主人,,,,,,
374,0:18:46,0:18:48,記者,然後藍白陣營是考量是權位分配,,,,,,
375,0:18:48,0:18:50,記者,人民不會執行 怎麼看,,,,,,
376,0:18:50,0:18:53,侯友宜,民進黨在開台灣這條船,,,,,,
377,0:18:53,0:18:55,侯友宜,已經開了七年多,,,,,,
378,0:18:55,0:18:57,侯友宜,大家可以看得到,,,,,,
379,0:18:57,0:19:01,侯友宜,這七年多來兵兇戰危,,,,,,
380,0:19:01,0:19:04,侯友宜,全世界都認為台灣是最危險的地方,,,,,,
381,0:19:04,0:19:07,侯友宜,尤其民進黨,,,,,,
382,0:19:07,0:19:11,侯友宜,賴清德是支持台獨的務實工作者,,,,,,
383,0:19:11,0:19:13,侯友宜,記得美國再三強調,,,,,,
384,0:19:13,0:19:15,侯友宜,不支持台獨,,,,,,
385,0:19:15,0:19:18,侯友宜,希望兩岸能夠對話,,,,,,
386,0:19:18,0:19:19,侯友宜,結果,,,,,,
387,0:19:19,0:19:25,侯友宜,你還是堅持往台獨的方向走,,,,,,
388,0:19:25,0:19:27,侯友宜,那你要騙人民的生命,,,,,,
389,0:19:27,0:19:31,侯友宜,讓我們這條船把它沉下去,,,,,,
390,0:19:31,0:19:33,侯友宜,我們所有人民的生命,,,,,,
391,0:19:33,0:19:36,侯友宜,就在大海裡面淹滅了,,,,,,
392,0:19:36,0:19:38,侯友宜,你就是這樣開船了嗎,,,,,,
393,0:19:38,0:19:40,侯友宜,你不開船 不會開船,,,,,,
394,0:19:40,0:19:41,侯友宜,來騙人民生命,,,,,,
395,0:19:41,0:19:43,侯友宜,換侯友宜來開船,,,,,,
396,0:19:43,0:19:47,侯友宜,讓他穩定的創造兩岸和平,,,,,,
397,0:19:47,0:19:51,侯友宜,面對台海危機能夠讓台海安定,,,,,,
398,0:19:51,0:19:53,侯友宜,台灣安全 世界安心,,,,,,
399,0:19:53,0:19:57,侯友宜,這才是掌舵者應該要做的事,,,,,,
400,0:19:57,0:19:58,記者,像媒體報導就是說,,,,,,
401,0:19:58,0:20:01,記者,你跟柯主席在景美前一天見面的時候,,,,,,
402,0:20:01,0:20:02,記者,你有當面跟他說,,,,,,
403,0:20:02,0:20:05,記者,你不想要當成第一個被承擔會提名,,,,,,
404,0:20:05,0:20:08,記者,但最後卻放棄了這個歷史罪人,,,,,,
405,0:20:08,0:20:09,記者,有沒有這件事情,,,,,,
406,0:20:09,0:20:12,侯友宜,我這一輩子,,,,,,
407,0:20:12,0:20:14,侯友宜,只有一個信念,,,,,,
408,0:20:14,0:20:16,侯友宜,保家衛國,,,,,,
409,0:20:16,0:20:18,侯友宜,我可以出生入死,,,,,,
410,0:20:18,0:20:20,侯友宜,就是為了人民的安全,,,,,,
411,0:20:20,0:20:22,侯友宜,我永遠記得,,,,,,
412,0:20:22,0:20:24,侯友宜,人民國家的利益,,,,,,
413,0:20:24,0:20:27,侯友宜,遠超過政黨 更超過派系,,,,,,
414,0:20:27,0:20:29,侯友宜,那個人更為不值得,,,,,,
415,0:20:29,0:20:31,侯友宜,我永遠信守這個承諾,,,,,,
416,0:20:31,0:20:34,侯友宜,我們一定團結所有人的力量,,,,,,
417,0:20:34,0:20:38,侯友宜,保衛中華民國 保衛台灣人民這塊土地,,,,,,
