segment,from,to,text
47,00:02:26.400,00:02:28.400,我們用三角定位的方式
48,00:02:28.400,00:02:31.400,用魯仁勒鼠三角定位的方式才找到的
49,00:02:31.400,00:02:35.400,所以感謝當初的淡水分局黃瀾山
50,00:02:35.400,00:02:37.400,這個蘆洲分局張國城
51,00:02:37.400,00:02:39.400,還有刑警大隊蕭瑞豪
52,00:02:39.400,00:02:41.400,為什麼 我都記得
53,00:02:41.400,00:02:42.400,因為看這件事情
54,00:02:42.400,00:02:45.400,真的 人命關天
55,00:02:45.400,00:02:47.400,大家一輩子最重要的是什麼
56,00:02:47.400,00:02:50.400,平安 好不容易賺了一輩子的錢
57,00:02:50.400,00:02:53.400,一天就沒有了
58,00:02:53.400,00:02:56.400,我一個中青就騙2700萬淋水員
59,00:02:56.400,00:02:58.400,本來今天要來 他不敢來
60,00:02:58.400,00:03:00.400,他說 打聽 不好意思來
61,00:03:00.400,00:03:02.400,錢拿不到
62,00:03:02.400,00:03:05.400,錢沒有把他要回來
63,00:03:05.400,00:03:08.400,所以為什麼我們一直怎樣子
64,00:03:08.400,00:03:10.400,詐騙集團
65,00:03:10.400,00:03:13.400,大家說你怎麼去告鄭文燦
66,00:03:13.400,00:03:15.400,我跟各位報告
67,00:03:15.400,00:03:18.400,鄭文燦不管他的私德上酒店
68,00:03:18.400,00:03:21.400,那是你家的事 那我沒要管
69,00:03:21.400,00:03:23.400,很多男人去上酒店花天酒地
70,00:03:23.400,00:03:25.400,那是你私德
71,00:03:25.400,00:03:29.400,但是你就是不能跟詐騙集團在一起
72,00:03:29.400,00:03:33.400,我要的就是政治人物 政府的官員
73,00:03:33.400,00:03:35.400,不能跟詐騙集團掛鉤
74,00:03:35.400,00:03:37.400,這樣有道理嗎
75,00:03:37.400,00:03:39.400,這是最卑微的 因為怎麼樣
76,00:03:39.400,00:03:41.400,因為人家老百姓就是這樣騙的
77,00:03:41.400,00:03:44.400,看你政府官員參加詐騙集團
78,00:03:44.400,00:03:46.400,因為我們不知道他是詐騙集團
79,00:03:46.400,00:03:49.400,可是我看到政治人物或者是政府官員
80,00:03:49.400,00:03:52.400,跟他在一起 這代表好像他很正派
81,00:03:52.400,00:03:56.400,好像他平常是做公德或做善事的人
82,00:03:56.400,00:03:59.400,我們是不是要跟做善事的人在一起
83,00:03:59.400,00:04:01.400,是不是 所以你看他以後
84,00:04:01.400,00:04:03.400,很多人都不了解就是投資
85,00:04:03.400,00:04:05.400,就錢都給他騙
86,00:04:05.400,00:04:07.400,我生氣的在這裡
87,00:04:07.400,00:04:13.400,我生氣是一而再 再而三 包括跟秦祥玉的詐騙集團在一起
88,00:04:13.400,00:04:17.400,包括跟IMB的曾國偉是不是
89,00:04:17.400,00:04:19.400,對不對 我記得嘛
90,00:04:19.400,00:04:23.400,曾國鋒後來他跟曾耀峰在一起詐騙
91,00:04:23.400,00:04:28.400,而且他什麼 他是槍炮彈藥刀械管制條例
92,00:04:28.400,00:04:32.400,我們生氣的是怎麼樣 你怎麼差通緝犯在一起
93,00:04:32.400,00:04:38.400,是不是 所以我們血本無歸 我們被騙了九十幾億
94,00:04:38.400,00:04:40.400,所以我生氣的在這裡
95,00:04:40.400,00:04:42.400,希望大家 還有 跟各位報告
96,00:04:42.400,00:04:44.400,我們立場都在這裡
97,00:04:44.400,00:04:46.400,我幫助這裡住31年
98,00:04:46.400,00:04:49.400,民國83年 社後事務發生一個氣爆案
99,00:04:49.400,00:04:52.400,我第一個到現場 中正路
100,00:04:52.400,00:04:54.400,我第一個整艘車到現場
101,00:04:54.400,00:04:57.400,中正路只有11米到18米
102,00:04:57.400,00:05:00.400,11米13米 16米18米
103,00:05:00.400,00:05:03.400,光華街15米12米
104,00:05:03.400,00:05:05.400,那 周勝豪告訴我了
105,00:05:05.400,00:05:08.400,在議會裡面你也知道
106,00:05:08.400,00:05:11.400,該捷運要什麼 要輕軌要什麼
107,00:05:11.400,00:05:15.400,要橋墩三米 一個橋墩三米
108,00:05:15.400,00:05:20.400,林房 林這個住要六棟 要六米
109,00:05:20.400,00:05:22.400,兩邊就十二米
110,00:05:22.400,00:05:25.400,就是沒有辦法 有什麼
111,00:05:25.400,00:05:27.400,有輕軌有捷運
112,00:05:27.400,00:05:30.400,周勝豪跟我台北縣議員的時候
113,00:05:30.400,00:05:31.400,我們就提過了
114,00:05:31.400,00:05:34.400,但是你在議會裡面 你做市長 政府局長
115,00:05:34.400,00:05:37.400,有人說你說社後輕軌 社後捷運
116,00:05:37.400,00:05:41.400,沒有 包括這次的總質詢
117,00:05:41.400,00:05:43.400,28個民進黨的議員
118,00:05:43.400,00:05:47.400,沒有一個議員提社後輕軌 社後捷運
119,00:05:47.400,00:05:49.400,所以我們來看看 我做人進行總統
120,00:05:49.400,00:05:51.400,做事情是自己知道的
121,00:05:51.400,00:05:52.400,有的事情我們才講
122,00:05:52.400,00:05:54.400,沒有的事情我們不能講
123,00:05:54.400,00:05:56.400,而且不能騙大家
124,00:05:56.400,00:05:59.400,所以今天很高興 我們接著直接有線了
125,00:05:59.400,00:06:02.400,接著我們是請非要人先
126,00:06:02.400,00:06:07.400,我們謝謝我們林郭村
127,00:06:07.400,00:06:11.400,我們林郭村大家給他掌聲鼓勵
128,00:06:11.400,00:06:13.400,在這邊插播一下
129,00:06:13.400,00:06:16.400,介紹一下 普通介紹一下
130,00:06:16.400,00:06:19.400,我們鄉鄉里 鄉鄉里里長
131,00:06:19.400,00:06:21.400,林黃毅里里長
132,00:06:21.400,00:06:23.400,林黃毅 市長
133,00:06:23.400,00:06:26.400,謝謝 謝謝 插播一下
134,00:06:26.400,00:06:28.400,我們鄭重介紹一下
135,00:06:28.400,00:06:32.400,我們東區的立法委員候選人葉元芝
136,00:06:32.400,00:06:34.400,謝謝
137,00:06:34.400,00:06:36.400,還有我們侯市長 未來我們侯總統
138,00:06:36.400,00:06:38.400,還有林郭村議員
139,00:06:38.400,00:06:40.400,還有在場的所有里長
140,00:06:40.400,00:06:42.400,還有各位嘉賓大家好
141,00:06:42.400,00:06:44.400,我是市議員葉元芝
142,00:06:44.400,00:06:47.400,也是這次我們板橋東區的立委參選人
143,00:06:47.400,00:06:49.400,講到詐騙 每次走在路上
144,00:06:49.400,00:06:52.400,太多人都說一定要把詐騙除惡誤盡
145,00:06:52.400,00:06:56.400,但是這八年來 民進黨雖然成立了很多打詐國家隊
146,00:06:56.400,00:06:58.400,也編了很多預算
147,00:06:58.400,00:07:00.400,可是這個詐騙都沒有辦法根據
148,00:07:00.400,00:07:03.400,因為方法不對 而且沒有決心
149,00:07:03.400,00:07:06.400,那現在很多詐騙都是新型的詐騙方式
150,00:07:06.400,00:07:08.400,像唐氏騙局 駐衛員
151,00:07:08.400,00:07:11.400,我們看到我們期待我們唐鳳
152,00:07:11.400,00:07:14.400,駐衛處發部的部長多做一點事情
153,00:07:14.400,00:07:17.400,但他每天都是開發一些點面線的
154,00:07:17.400,00:07:19.400,或者是要出國的
155,00:07:19.400,00:07:21.400,沒有把心放在詐騙
156,00:07:21.400,00:07:23.400,所以我們期待我們侯友宜市長
157,00:07:23.400,00:07:27.400,簡潤總統把詐騙根除到了好不好
158,00:07:27.400,00:07:28.400,好
159,00:07:28.400,00:07:31.400,現在為什麼詐騙沒辦法根除
160,00:07:31.400,00:07:32.400,跟大家報告
161,00:07:32.400,00:07:35.400,因為現在執政黨就是詐騙集團嘛
162,00:07:35.400,00:07:37.400,所以這些詐騙的人
163,00:07:37.400,00:07:39.400,覺得進到了行業公會啦
164,00:07:39.400,00:07:42.400,執政黨都詐騙 我們為什麼要改呢
165,00:07:42.400,00:07:44.400,詐騙集團心態是這樣
166,00:07:44.400,00:07:46.400,詐騙的人心要黑
167,00:07:46.400,00:07:48.400,而且他不會有同理心
168,00:07:48.400,00:07:51.400,他不會管別人怎麼想
169,00:07:51.400,00:07:53.400,而且很會說謊
170,00:07:53.400,00:07:55.400,一張嘴巴可以把死人說成活的
171,00:07:55.400,00:07:57.400,這就是劉立港
172,00:07:57.400,00:07:58.400,你看賴清德
173,00:07:58.400,00:08:01.400,最近我們之前我在講他違建的事情
174,00:08:01.400,00:08:03.400,他一開始說沒有違建
175,00:08:03.400,00:08:05.400,有門牌就不是違建
176,00:08:05.400,00:08:07.400,後來又改口了嘛
177,00:08:07.400,00:08:09.400,然後一開始講說他有繳房屋稅
178,00:08:09.400,00:08:11.400,所以不是違建
179,00:08:11.400,00:08:13.400,結果後來會發現
180,00:08:13.400,00:08:14.400,根本沒有繳房屋稅
181,00:08:14.400,00:08:15.400,一毛錢都沒繳
182,00:08:15.400,00:08:17.400,連低假稅都沒繳
183,00:08:17.400,00:08:20.400,我覺得這個事情違建是小事
184,00:08:20.400,00:08:23.400,但是你作為一個選總統的候選人
185,00:08:23.400,00:08:25.400,怎麼可以說謊啊
186,00:08:25.400,00:08:27.400,說謊說得臉不紅氣不轉
187,00:08:27.400,00:08:30.400,這不就擺明跟詐騙集團一樣嗎
188,00:08:30.400,00:08:32.400,再來講喔
189,00:08:32.400,00:08:34.400,剛剛林國燊議員
190,00:08:34.400,00:08:36.400,他其實講的就是民進黨立委啦
191,00:08:36.400,00:08:38.400,他不敢點名 修養比較好
192,00:08:38.400,00:08:41.400,我直接點 我的對手叫羅志正
193,00:08:41.400,00:08:43.400,現在到處掛看板
194,00:08:43.400,00:08:45.400,把侯友宜市長做的東西
195,00:08:45.400,00:08:47.400,全部說是他爭取的
196,00:08:47.400,00:08:49.400,我再舉一個例子
197,00:08:49.400,00:08:51.400,我再舉一個例子
198,00:08:51.400,00:08:54.400,羅志正說他爭取到國民第二運動中心
199,00:08:54.400,00:08:56.400,是他爭取的
200,00:08:56.400,00:08:59.400,市長他有跟你講過這個事嗎
201,00:08:59.400,00:09:01.400,沒有啊
202,00:09:01.400,00:09:03.400,完全沒有
203,00:09:03.400,00:09:05.400,結果到處掛看板
204,00:09:05.400,00:09:09.400,去騙我們百潮鄉親說這個運動中心他爭取的
205,00:09:09.400,00:09:11.400,實際上我問市長
206,00:09:11.400,00:09:13.400,我問教育局
207,00:09:13.400,00:09:15.400,他從來沒有關心過
208,00:09:15.400,00:09:17.400,而且這個運動中心
209,00:09:17.400,00:09:20.400,所有錢全部是我們市長投的
210,00:09:20.400,00:09:23.400,中央沒有補一毛錢啊
211,00:09:23.400,00:09:25.400,欸
212,00:09:25.400,00:09:27.400,侯市長這麼認真
213,00:09:27.400,00:09:29.400,看中文板橋
214,00:09:29.400,00:09:31.400,中文板橋有60萬元
215,00:09:31.400,00:09:33.400,應該有第二座運動中心
216,00:09:33.400,00:09:35.400,所以找地點
217,00:09:35.400,00:09:37.400,最後選在光復高峰
218,00:09:37.400,00:09:39.400,然後自己找錢中央沒有補一毛錢
219,00:09:39.400,00:09:41.400,民進黨立法委員可以說是他爭取的
220,00:09:41.400,00:09:43.400,這不是大運集團
221,00:09:43.400,00:09:45.400,什麼是大運集團啊
222,00:09:45.400,00:09:47.400,我再跟各位講
223,00:09:47.400,00:09:49.400,這個羅志正他騙我們西州的鄉親
224,00:09:49.400,00:09:51.400,說他爭取到什麼
225,00:09:51.400,00:09:53.400,捷運西州站
226,00:09:53.400,00:09:55.400,我那天問捷運局長
227,00:09:55.400,00:09:57.400,捷運局長說根本沒有西州站好不好
228,00:09:57.400,00:09:59.400,然後再來就是
229,00:09:59.400,00:10:01.400,那個捷運啊
230,00:10:01.400,00:10:03.400,核定的時候他都還沒當立委
231,00:10:03.400,00:10:05.400,所以關他什麼事啊
232,00:10:05.400,00:10:07.400,還有更扯的
233,00:10:07.400,00:10:09.400,今天有很多領導在現場
234,00:10:09.400,00:10:11.400,民生禮啊 冬休禮啊
235,00:10:11.400,00:10:13.400,無禮 無禮活動中心
236,00:10:13.400,00:10:15.400,這個是市長
237,00:10:15.400,00:10:17.400,那是新版年開案
238,00:10:17.400,00:10:19.400,年開案市長覺得說
239,00:10:19.400,00:10:21.400,要把他變成活動中心
240,00:10:21.400,00:10:23.400,那天裁判局長跟我跟換家議員講
241,00:10:23.400,00:10:25.400,我們去現場看
242,00:10:25.400,00:10:27.400,羅志正又說是他爭取的啦
243,00:10:27.400,00:10:29.400,欸
244,00:10:29.400,00:10:31.400,那現在欸市長
245,00:10:31.400,00:10:33.400,羅志正每天跟你在一起是不是啊
246,00:10:33.400,00:10:35.400,為什麼你
247,00:10:35.400,00:10:37.400,我也很猜斷誰沒看到
248,00:10:37.400,00:10:39.400,都變成他爭取的啦
249,00:10:39.400,00:10:41.400,所以民進黨的立委到處
250,00:10:41.400,00:10:43.400,掛看反攻在收割我們市長的政績
251,00:10:43.400,00:10:45.400,忠孝國宗旁邊
252,00:10:45.400,00:10:47.400,任行道是市長
253,00:10:47.400,00:10:49.400,因為要改建忠孝國宗
254,00:10:49.400,00:10:51.400,想說任行道順
255,00:10:51.400,00:10:53.400,就一起把他變成美人滿壞
256,00:10:53.400,00:10:55.400,現在好多人在那邊運動
257,00:10:55.400,00:10:57.400,羅志正又說是他爭取的啦
258,00:10:57.400,00:10:59.400,欸市長為什麼你都讀候他啦
259,00:10:59.400,00:11:01.400,你對民進黨比較好咧
260,00:11:01.400,00:11:03.400,所以我覺得政治人
261,00:11:03.400,00:11:05.400,為什麼詐騙集團會這麼多你知道
262,00:11:05.400,00:11:07.400,因為政客多了
263,00:11:07.400,00:11:09.400,國政議員講的好啦
264,00:11:09.400,00:11:11.400,欸你政治人物跟詐騙集團在一起
265,00:11:11.400,00:11:13.400,然後詐騙集團的好處
266,00:11:13.400,00:11:15.400,詐騙集團就什麼都不怕
267,00:11:15.400,00:11:17.400,那民進黨立委
268,00:11:17.400,00:11:19.400,他可以公然說謊
269,00:11:19.400,00:11:21.400,把別人政績講成自己的
270,00:11:21.400,00:11:23.400,詐騙誠信
271,00:11:23.400,00:11:25.400,那詐騙集團覺得說反正民進黨都這樣
272,00:11:25.400,00:11:27.400,那我有怎樣嘛
273,00:11:27.400,00:11:29.400,我不過就跟執政黨一樣而已啊
274,00:11:29.400,00:11:31.400,所以詐騙集團要根據
275,00:11:31.400,00:11:33.400,很重要就是要有正直良善的人
276,00:11:33.400,00:11:35.400,做總統
277,00:11:35.400,00:11:37.400,正直良善以身作則上行下效
278,00:11:37.400,00:11:39.400,詐騙才能根主
279,00:11:39.400,00:11:41.400,而且我們要立法
280,00:11:41.400,00:11:43.400,要執行要真的讓大家
281,00:11:43.400,00:11:45.400,的財產不要損失
282,00:11:45.400,00:11:47.400,謝謝大家謝謝
283,00:11:47.400,00:11:49.400,好我們謝謝我們葉委員
284,00:11:49.400,00:11:51.400,我們給我們葉委員
285,00:11:51.400,00:11:53.400,我們來呼聲一下好不好
286,00:11:53.400,00:11:55.400,葉委員斯
287,00:11:55.400,00:11:57.400,葉委員斯
288,00:11:57.400,00:11:59.400,謝謝
289,00:11:59.400,00:12:01.400,國生啊
290,00:12:01.400,00:12:03.400,我們要國生來看一遍
291,00:12:03.400,00:12:05.400,李國春
292,00:12:05.400,00:12:07.400,李國春
293,00:12:07.400,00:12:09.400,李國春
294,00:12:09.400,00:12:11.400,我們洪市長在我們
295,00:12:11.400,00:12:13.400,板橋不管在我們板橋
296,00:12:13.400,00:12:15.400,在我們的新北市啊
297,00:12:15.400,00:12:17.400,做了那麼多的建設
298,00:12:17.400,00:12:19.400,做得那麼好把我們新北市
299,00:12:19.400,00:12:21.400,能夠安居樂業大家
300,00:12:21.400,00:12:23.400,我們是不是應該支持
301,00:12:23.400,00:12:25.400,侯友宜
302,00:12:25.400,00:12:27.400,侯友宜
303,00:12:27.400,00:12:29.400,侯友宜
304,00:12:29.400,00:12:31.400,侯友宜
305,00:12:31.400,00:12:33.400,侯友宜
306,00:12:33.400,00:12:35.400,好接下來
307,00:12:35.400,00:12:37.400,我們請我們國生主持人
308,00:12:37.400,00:12:39.400,來介紹一下我們的
309,00:12:39.400,00:12:41.400,貝太人我今天好
310,00:12:41.400,00:12:43.400,何明山來你先講好不好
311,00:12:43.400,00:12:45.400,因為那談反的柬埔寨
312,00:12:45.400,00:12:47.400,都是他救出來的
313,00:12:47.400,00:12:49.400,28個人加32的總共
314,00:12:49.400,00:12:51.400,簡短喔
315,00:12:51.400,00:12:53.400,你看喔
316,00:12:53.400,00:12:55.400,好謝謝
317,00:12:55.400,00:12:57.400,總統好
318,00:12:57.400,00:12:59.400,各位貴賓
319,00:12:59.400,00:13:01.400,我們美豬總統好
320,00:13:01.400,00:13:03.400,我們所有的貴賓大家好
321,00:13:03.400,00:13:05.400,我簡單講給你聽
322,00:13:05.400,00:13:07.400,我之前在去年的10月
323,00:13:07.400,00:13:09.400,20號
324,00:13:09.400,00:13:11.400,我去報告貝太人的第一天
325,00:13:11.400,00:13:13.400,他是那個
326,00:13:13.400,00:13:15.400,一家超市的店長喔
327,00:13:15.400,00:13:17.400,如果他看到一個電視
328,00:13:17.400,00:13:19.400,說對這個超市
329,00:13:19.400,00:13:21.400,很平常
330,00:13:21.400,00:13:23.400,結果我們叫他去電視
331,00:13:23.400,00:13:25.400,說他也去找個
332,00:13:25.400,00:13:27.400,好玩的西派來
333,00:13:27.400,00:13:29.400,因為他那個店長壓力大
334,00:13:29.400,00:13:31.400,他想要找貝太人
335,00:13:31.400,00:13:33.400,不敢去找的人
336,00:13:33.400,00:13:35.400,他就直接去付錢
337,00:13:35.400,00:13:37.400,我們給他用這個
338,00:13:37.400,00:13:39.400,用這個路去去找貝太人
339,00:13:39.400,00:13:41.400,結果他最近
340,00:13:41.400,00:13:43.400,我們太太說他在出錢
341,00:13:43.400,00:13:45.400,兩天都沒回來
342,00:13:45.400,00:13:47.400,後來他老婆跟他
343,00:13:47.400,00:13:49.400,大嫂到處去吃東西
344,00:13:49.400,00:13:51.400,大半天就去過來
345,00:13:51.400,00:13:53.400,那個副手機阿姨幫他
346,00:13:53.400,00:13:55.400,這個這個
347,00:13:55.400,00:13:57.400,他在電視上看到
348,00:13:57.400,00:13:59.400,在去休旅館的前面
349,00:13:59.400,00:14:01.400,還有電視是看到
350,00:14:01.400,00:14:03.400,但是他在那裡等一個人
351,00:14:03.400,00:14:05.400,那個人來就要給他
352,00:14:05.400,00:14:07.400,去休旅館
353,00:14:07.400,00:14:09.400,都不相信了
354,00:14:09.400,00:14:11.400,但是按照程序沒錯
355,00:14:11.400,00:14:13.400,因為那個方士葛
356,00:14:13.400,00:14:15.400,他那個報案的三年單的
357,00:14:15.400,00:14:17.400,被他殺光失蹤了
358,00:14:17.400,00:14:19.400,他太太跟他爸爸
359,00:14:19.400,00:14:21.400,很不放心的
360,00:14:21.400,00:14:23.400,第一次問我的事
361,00:14:23.400,00:14:25.400,我們郭春麗
362,00:14:25.400,00:14:27.400,我打電話給郭春麗
363,00:14:27.400,00:14:29.400,她說現在我跟她
364,00:14:29.400,00:14:31.400,在這裡跟大家說說
365,00:14:31.400,00:14:33.400,她就跟郭春麗說
366,00:14:33.400,00:14:35.400,我剛才跟本座主
367,00:14:35.400,00:14:37.400,剛才跟她說過
368,00:14:37.400,00:14:39.400,她就來
369,00:14:39.400,00:14:41.400,結果我就報那個電話
370,00:14:41.400,00:14:43.400,她跟那個當事人的老婆
371,00:14:43.400,00:14:45.400,聯絡了
372,00:14:45.400,00:14:47.400,郭春麗也非常矚正
373,00:14:47.400,00:14:49.400,我跟她說了
374,00:14:49.400,00:14:51.400,這個不是一般的事件人口
375,00:14:51.400,00:14:53.400,這最有問題
376,00:14:53.400,00:14:55.400,很對
377,00:14:55.400,00:14:57.400,因為不正常
378,00:14:57.400,00:14:59.400,事件人口就是
379,00:14:59.400,00:15:01.400,你只要找到你
380,00:15:01.400,00:15:03.400,這樣就幫你報
381,00:15:03.400,00:15:05.400,結果她馬上跟老婆說
382,00:15:05.400,00:15:07.400,她在叫平行黨
383,00:15:07.400,00:15:09.400,馬上連專案辦
384,00:15:09.400,00:15:11.400,結果有單單的老婆跟她說
385,00:15:11.400,00:15:13.400,聯絡到淡水
386,00:15:13.400,00:15:15.400,淡水訓練已經一年多
387,00:15:15.400,00:15:17.400,後來就是破獲了
388,00:15:17.400,00:15:19.400,20幾個
389,00:15:19.400,00:15:21.400,她回來我這裡有送
390,00:15:21.400,00:15:23.400,你也有送
391,00:15:23.400,00:15:25.400,整個市府打到都一箱
392,00:15:25.400,00:15:27.400,你都見到了我有相片
393,00:15:27.400,00:15:29.400,我來給大家看
394,00:15:29.400,00:15:35.400,你把相片拿出來
395,00:15:35.400,00:15:37.400,我是第二個被害人
396,00:15:37.400,00:15:39.400,被害人是昨天找我的
397,00:15:39.400,00:15:41.400,他是被騙了
398,00:15:41.400,00:15:43.400,1700萬
399,00:15:43.400,00:15:45.400,昨天你知道嗎
400,00:15:45.400,00:15:47.400,我自己都快哭了
401,00:15:47.400,00:15:49.400,我說今天市長要來
402,00:15:49.400,00:15:51.400,你現身說法
403,00:15:51.400,00:15:53.400,拜託市長
404,00:15:53.400,00:15:55.400,救救你的錢
405,00:15:55.400,00:15:57.400,你看
406,00:15:57.400,00:15:59.400,你是張小姐
407,00:15:59.400,00:16:01.400,你再趕快跟市長報告一下
408,00:16:01.400,00:16:03.400,你還不快點
409,00:16:03.400,00:16:05.400,我來幫你報告一下
410,00:16:05.400,00:16:07.400,我自己都快哭了
411,00:16:07.400,00:16:09.400,你現在還在那邊
412,00:16:09.400,00:16:11.400,我去找你
413,00:16:11.400,00:16:13.400,你現在還在那邊
414,00:16:13.400,00:16:15.400,我去找你
415,00:16:15.400,00:16:17.400,我去找你
416,00:16:17.400,00:16:19.400,你現在還在那邊
417,00:16:19.400,00:16:21.400,我去找你
418,00:16:21.400,00:16:23.400,我去找你
419,00:16:23.400,00:16:25.400,你現在還在那邊
420,00:16:25.400,00:16:27.400,我去找你
421,00:16:27.400,00:16:29.400,我去找你
422,00:16:29.400,00:16:31.400,我去找你
423,00:16:31.400,00:16:33.400,你現在還在那邊
424,00:16:33.400,00:16:35.400,我去找你
425,00:16:35.400,00:16:37.400,你現在還在那邊
426,00:16:37.400,00:16:39.400,我去找你
427,00:16:39.400,00:16:41.400,你現在還在那邊
428,00:16:41.400,00:16:43.400,我去找你
429,00:16:43.400,00:16:45.400,你現在還在那邊
430,00:16:45.400,00:16:47.400,我去找你
431,00:16:47.400,00:16:49.400,你現在還在那邊
432,00:16:49.400,00:16:51.400,我去找你
433,00:16:51.400,00:16:53.400,你現在還在那邊
434,00:16:53.400,00:16:55.400,我去找你
435,00:16:55.400,00:16:57.400,你現在還在那邊
436,00:16:57.400,00:16:59.400,我去找你
437,00:16:59.400,00:17:01.400,你現在還在那邊
438,00:17:01.400,00:17:03.400,我去找你
439,00:17:03.400,00:17:05.400,你現在還在那邊
440,00:17:05.400,00:17:07.400,我去找你
441,00:17:07.400,00:17:09.400,你現在還在那邊
442,00:17:09.400,00:17:11.400,我去找你
443,00:17:11.400,00:17:13.400,你現在還在那邊
444,00:17:13.400,00:17:15.400,我去找你
445,00:17:15.400,00:17:17.400,你現在還在那邊
446,00:17:17.400,00:17:19.400,我去找你
447,00:17:19.400,00:17:21.400,你現在還在那邊
448,00:17:21.400,00:17:23.400,我去找你
449,00:17:23.400,00:17:25.400,你現在還在那邊
450,00:17:25.400,00:17:27.400,我去找你
451,00:17:27.400,00:17:29.400,你現在還在那邊
452,00:17:29.400,00:17:31.400,我去找你
453,00:17:31.400,00:17:33.400,你現在還在那邊
454,00:17:33.400,00:17:35.400,我去找你
455,00:17:35.400,00:17:37.400,你現在還在那邊
456,00:17:37.400,00:17:39.400,我去找你
457,00:17:39.400,00:17:41.400,你現在還在那邊
458,00:17:41.400,00:17:43.400,我去找你
459,00:17:43.400,00:17:45.400,你現在還在那邊
460,00:17:45.400,00:17:47.400,我去找你
461,00:17:47.400,00:17:49.400,你現在還在那邊
462,00:17:49.400,00:17:51.400,我去找你
463,00:17:51.400,00:17:53.400,你現在還在那邊
464,00:17:53.400,00:17:55.400,我去找你
465,00:17:55.400,00:17:57.400,你現在還在那邊
466,00:17:57.400,00:17:59.400,我去找你
467,00:17:59.400,00:18:01.400,你現在還在那邊
468,00:18:01.400,00:18:03.400,我去找你
469,00:18:03.400,00:18:05.400,你現在還在那邊
470,00:18:05.400,00:18:07.400,我去找你
471,00:18:07.400,00:18:09.400,你現在還在那邊
472,00:18:09.400,00:18:11.400,我去找你
473,00:18:11.400,00:18:13.400,你現在還在那邊
474,00:18:13.400,00:18:15.400,我去找你
475,00:18:15.400,00:18:17.400,你現在還在那邊
476,00:18:17.400,00:18:19.400,我去找你
477,00:18:19.400,00:18:21.400,你現在還在那邊
478,00:18:21.400,00:18:23.400,我去找你
479,00:18:23.400,00:18:25.400,你現在還在那邊
480,00:18:25.400,00:18:27.400,我去找你
